,,,,,,,,,,,,,Reunion y Colaboracion,,,,,,,Entretenimiento y Cultura,,,,,,,Hogar y espacios personales,,,,,Espacios Comerciales,,,,Hosteleria,,Museos y Parques,,Educacion,,,,,,Oracion y Culto,,,,,Espacios Deportivos,,,Espacios de atencion a la salud,,,Espacios Corporativos,,,,Transporte,,,,Gubernamental,,,
ID,Tipo,Producto,Foto,Marca,Modelo,Descripcion,Cuando_Usar,EVAC,Requiere_Accesorio_o_equipo_Adic,Power_Supply_Adicional,Tapa_Adicional,Caja_Adicional,Escritorio_o_Home_Office,Huddle_Room,Sala_de_Juntas,Auditorio,Salones_Multiples,Congresos__Consejos,Centros_de_Convenciones,Restaurante,RestoBar,Bar__Lounge,Bar_con_Musica_en_Vivo,Discoteca,Teatro,Concierto_Aire_libre,Fiesta_Portatil,Sala_de_Escucha_en_su_casa,Home_Theater,Apartamento_Completo,Casa_Completa,Tienda_o_Boutique,Market,Mall,Centro_Comercial,Hoteles,Resort,Museo,Parques_Tematicos,Educacion_a_Distancia,Salon_de_Clases,Escuela,Colegio,Campus_Universitario,Biblioteca,Capilla,Iglesia,Basilica,Casa_de_Oracion,Centro_de_Oracion,Gimnasio,Coliseo,Estadio,Consultorio,Edificio_Mediano_o_Clinica,Gran_Edificio_u_Hospital,Bodegas,Fabricas,Complex_Oficinas,Gran_Edificio_Oficinas,Aeropuerto_regional,Aeropuerto_nacional,Aeropuerto_internacional,Metro,Edificios_Administrativos,Infraestructura_Tuneles__Puertos,Evacuacion_Ciudades,POR_Definir
595000,Video,29. Accesorio Video,/595000_CMA Series.png,Chief,CMA Series,Plato de agarre proyector techo,"Dependiendo de donde va a pegar el soporte, ya sea de una loza, un techo o una estructura encuentre el soporte apropiado",,Brazo CMS,,,,,,1,1,1,1,1,,1,1,1,1,1,,,,1,,,1,,,,,,1,,,1,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,
596000,Video,29. Accesorio Video,/596000_CMA Series ok.png,Chief,CMA Series,Accesorio Almacenamiento de equipos,Cuando busque almacenar ciertos equipos cerca del proyector use este mueble de almacenamiento,,Brazo CMS,,,,,,,1,1,,1,,1,1,1,1,,,,,,,,,,,,,,1,,,1,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,
597000,Video,29. Accesorio Video,/597000_PL Series ok.png,Chief,PL Series,Accesorio para asegurar proyector,Si en el lugar de instalacion del proyector requeire proteccion adicional contra robos,,Brazo CMS y soporte RPA,,,,,,,1,1,,1,,1,1,1,1,,,,,,,,,,,,,,1,,,1,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,
598000,Video,29. Accesorio Video,/598000_LVS Series.png,Chief,LVS Series,Soporte especial para videowall en pared,Cuando busque optimizar la instalacion y mantenimeinto de su videowall de manera que no tenga que desmontar todas las pantallas para revisar una debe usar un soporte como estos,,,,,,,,1,1,1,1,1,,,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,,,,,1,1,,,,1,1,1,,,,,1,,,,,,1,1,1,1,,,
599000,Video,29. Accesorio Video,/599000_NAXD Series.png,Chief,NAXD Series,Alimentador de potencia,Si desea concentrar la alimetnacion electrica de las pantallas en un multitoma organizado,,,,,,,,1,1,1,1,1,,,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,,,,,1,1,,,,1,1,1,,,,,1,,,,,,1,1,1,1,,,
600000,Video,29. Accesorio Video,/600000_CSMP9X12.png,Chief,CSMP9X12,Almacenador de componentes,"Busca almacenar ciertos aparatos cerca del videowall, use este aditamento para una mejor organización",,,,,,,,1,1,1,1,1,,,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,,,,,1,1,,,,1,1,1,,,,,1,,,,,,1,1,1,1,,,
601000,Video,29. Accesorio Video,/601000_CSACK06B.png,Chief,CSACK06B,Cobertor de paredes laterales,"Desea que los bordes del videowall queden protegidos y esteticamente decorados como si fuese un solo sistema, use este kit decorativo",,,,,,,,1,1,1,1,1,,,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,,,,,1,1,,,,1,1,1,,,,,1,,,,,,1,1,1,1,,,
602000,Video,29. Accesorio Video,/602000_FRA Series.png,Chief,FRA Series,Plato para rotacion de pantallas,Cuando quiera que cada pantalla se pueda rotar libremente para crear videowalls artisticos,,,,,,,,1,1,1,1,1,,,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,,,,,1,1,,,,1,1,1,,,,,1,,,,,,1,1,1,1,,,
603000,Control,31. Sensor,/603000_SensorCUE.png,CUE,SensorCUE,Sensor de temperatura e Iluminacion,"Si necesita un sensor de temperatura e iluminacion para poder tener referencias de estos ambientes y asi pasarle los datos a un controlador CUE para que actue basado en estas variables, este es el accesorio que le resolvera el problema",,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607000,Control,32. Controlador,/607000_ControlCUE-Hub.png,CUE,ControlCUE-Hub,Controlador para aparatos IP y EnOcean con blaster de IR,"Si requeire desde un controlador inalambrico integrar equipos y tecnologias con el protocolo EnOcean que es nativo inalambrico y ampliarlo a protocolos IP para asi crear automatizaciones y control de todo un sistema como un solo gran  equipo va a necesitar los controladores, y CUE entrega confiabilidad a nivel industrial.  Este controlador puede ser el centro de este sistema y permitir la escalabilidad a mas equipso de control descentralizados a travez de la red IP.  Este controlador inclusive tiene un blaster de infrarojos para enviarle comandos a TVs u otros equipos que esten cerca y con vista directa, reduciendo el cableado y la instalacion enormemente.",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608000,Control,32. Controlador,/608000_ControlCUE-basic.png,CUE,ControlCUE-basic,"Controlador IP 4x puertos universales, 1x rs232, 1x sensor, 2x relay",Un sistema economico plug&play que se pueda programar facilmente con un wizard desde un navegador cualqueira para automatizar salas basicas muy efectiva pero economicamente,,,,,,,1,1,1,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
609000,Control,32. Controlador,/609000_ControlCUE-Hub.png,CUE,ControlCUE-Hub,Controlador para aparatos IP y EnOcean con blaster de IR,"Si requeire desde un controlador inalambrico integrar equipos y tecnologias con el protocolo EnOcean que es nativo inalambrico y ampliarlo a protocolos IP para asi crear automatizaciones y control de todo un sistema como un solo gran  equipo va a necesitar los controladores, y CUE entrega confiabilidad a nivel industrial.  Este controlador puede ser el centro de este sistema y permitir la escalabilidad a mas equipso de control descentralizados a travez de la red IP.  Este controlador inclusive tiene un blaster de infrarojos para enviarle comandos a TVs u otros equipos que esten cerca y con vista directa, reduciendo el cableado y la instalacion enormemente.",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610000,Control,32. Controlador,/610000_ControlCUE-knx-d.png,CUE,ControlCUE-knx-d,"Controlador IP 1x KNX port, 4x puertos versatiles, 1x rs232","Si requeire integrar varios equipos y tecnologias con una salida nativa del cada vez mas famoso protocolo KNX y asi crear automatizaciones y control de todo un sistema como un solo gran  equipo va a necesitar los controladores, y CUE entrega confiabilidad a nivel industrial.  Este controlador puede ser el centro de este sistema y permitir la escalabilidad a mas equipso de control descentralizados a travez de la red IP",,,,,,,,1,1,1,1,1,1,,,,,1,,,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,,,,,,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,,,
611000,Control,32. Controlador,/611000_ControlCUE-Versatile.png,CUE,ControlCUE-Versatile,"Controlador IP 8x puertos versatiles, 3x rs232, captura IR","Si requeire integrar varios equipos y tecnologias de manera que pueda crear automatizaciones y control de todo el sistema como un solo gran  equipo va a necesitar los controladores, y CUE entrega confiabilidad a nivel industrial.  Este controlador que posee puestos versatiles especiales puede ser el centro de este sistema y permitir la escalabilidad a mas equipso de control descentralizados a travez de la red IP",,,,,,,,1,1,1,1,1,1,,,,,1,,,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,,,,,,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,,,
612000,Control,32. Controlador,/612000_ControlCUE-On.png,CUE,ControlCUE-One,"Controlador IP 4x IR, 4x general IO, 2x rs232, 2x relay, captura IR, audio in/out","Si requeire integrar varios equipos y tecnologias de manera que pueda crear automatizaciones y control de todo el sistema como un solo gran  equipo va a necesitar los controladores, y CUE entrega confiabilidad a nivel industrial.  Este controlador puede ser el centro de este sistema y permitir la escalabilidad a mas equipso de control descentralizados a travez de la red IP",,,,,,,,1,1,1,1,1,1,,,,,1,,,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,,,,,,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,,,
613000,Control,32. Controlador,/613000_ControlCUE-Two.png,CUE,ControlCUE-Two,"Controlador IP 8x IR, 8x general IO, 6x rs232, 4x relay, captura IR, audio in/out","Si con los puestos disponibles en un ControlCUE-One no es suficiente y requeire integrar varios equipos y tecnologias de manera que pueda crear automatizaciones y control de todo el sistema como un solo gran  equipo va a necesitar los controladores, y CUE entrega confiabilidad a nivel industrial.  Este controlador puede ser el centro de este sistema y permitir la escalabilidad a mas equipso de control descentralizados a travez de la red IP",,,,,,,,1,1,1,1,1,1,,,,,1,,,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,,,,,,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,,,
614000,Control,32. Controlador,/614000_ControlCUE-enOcean.png,CUE,ControlCUE-enOcean,"Controlador IP 1x EnOcean RF port, 4x puertos versatiles, 1x rs232","Si requeire integrar varios equipos y tecnologias con una salida nativa para el protocolo de control inalambrico de automatizacion EnOcean  que dispone de una muy amplia variedad de dispositivos que van desde iluminacion hasta cortinas y termostatos y asi crear automatizaciones y control de todo un sistema con otros protocolos como un solo gran  equipo va a necesitar los controladores, y CUE entrega confiabilidad a nivel industrial.  Este controlador puede ser el centro de este sistema y permitir la escalabilidad a mas equipso de control descentralizados a travez de la red IP",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615000,Control,32. Controlador,/615000_ControlCUE-DMX-D.png,CUE,ControlCUE-DMX-D,"Controlador IP 2x DMX port, 4x puertos versatiles, 1x rs232","Si requeire integrar varios equipos y tecnologias con una salida nativa en el protocolo de iluminacion profesional DMX y asi crear automatizaciones y control de todo un sistema como un solo gran  equipo va a necesitar los controladores, y CUE entrega confiabilidad a nivel industrial.  Este controlador puede ser el centro de este sistema y permitir la escalabilidad a mas equipso de control descentralizados a travez de la red IP",,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
616000,Control,32. Controlador,/616000_SmartCUE-Relay.png,CUE,SmartCUE-Relay,"Mini Controlador IP 6x relay, 6x puertos versatiles, 3x rs232, captura IR","Si requeire integrar varios equipos y tecnologias aprovecahndo los 6 puertos versatiles disponibles que cuentan pulsos y tienen sensibilidad controlable para resistencia, voltaje y asi crear automatizaciones y control de todo un sistema como un solo gran  equipo va a necesitar los controladores, y CUE entrega confiabilidad a nivel industrial.  Este controlador puede ser el centro de este sistema y permitir la escalabilidad a mas equipso de control descentralizados a travez de la red IP",,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
617000,Control,32. Controlador,/617000_SmartCUE-Versatile.png,CUE,SmartCUE-Versatile,"Mini Controlador IP 8x puertos versatiles, 3x rs232, captura IR","Si tiene un sistema de CUE y requiere tener una interfase remota via IP que le aumente la capacidad para 3 RS232. y 8 puertos versatiles de manera que pueda manejarlos y conectarlos mas facilmente sin tener que llegar con cables al sistema central, este equipo le dara la solucion apropiada.  Tambien hay versiones WiFi de este producto apra asi no tenener que tirar cableado, o pueden utilizar un mini router TL-MR3020 para colcoar un punto wi-fi cerca de el.",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618000,Control,33. Modulo Control,/618000_InputCUE.png,CUE,InputCUE,8 contactos secos adicionales de entrada,"Si tiene un sistema de CUE y requiere ampliar su capacidad en 8 contactos secos adicionales de entrada para asi recibir ordenes de equipos externos que se comuniquen a travez de este metodo,  este es el aparato que usted debera incluir en su proyecto.",,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619000,Control,33. Modulo Control,/619000_PEA208.png,CUE,PEA208,"2 relays variable para lamparas fluorecentes, dimmers, conversores de frecuencias","Cuando desee controlar 2 lamparas fluorecentes, dimmers o conversores de frecuencias, valvulas neumaticas o hidaulicas que consuman menos de 10A.  Este modulo se conecta a travez de un puerto PEBus (RS485) de cualqueir controlador CUE que lo tenga disponible",,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620000,Control,33. Modulo Control,/620000_PEF200.png,CUE,PEF200,2 relay para balastros e lamparas fluorecentes o compatibles Dsi,Cuando tenga un sistema de automatizacion CUE y desee prender o apagar 2 circuitos de lamparas fluorecentes con balastros Dsi,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621000,Control,33. Modulo Control,/621000_PowerAUX.png,CUE,PowerAUX,8 relays de 16amps cada uno,"Si tiene un sistema de CUE y requiere ampliar su capacidad en 16 contactos secos de salida adicionales para asi manejar mas motores, pantallas, asecensores, aires acondicionados, seleccionador de parlantes 70v/100v y demas equipos,  este es el aparato que usted debera incluir en su proyecto.",,,,,,,,,,1,1,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
622000,Control,33. Modulo Control,/622000_RelayCUE-8.png,CUE,RelayCUE-8,8 relays de 10amps cada uno,"Si tiene un sistema de CUE y requiere ampliar su capacidad en 8 contactos secos de salida adicionales para asi manejar mas motores, pantallas, asecensores, aires acondicionados, seleccionador de parlantes 70v/100v y demas equipos,  este es el aparato que usted debera incluir en su proyecto.",,,,,,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
623000,Control,34. Dimmer,/623000_PED108.png,CUE,PED108,Dimmer de 8amps para cargas resistivas e inductivas,Cuando tenga un sistema de automatizacion CUE y desee controlar la intensidad de la iluminacion en un circuito de lamparas de cargas resistivas e inductivas,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624000,Control,34. Dimmer,/624000_PED202.png,CUE,PED202,"Dimmer de 2,7amps 2 canales para cargas resistivas e inductivas",Cuando tenga un sistema de automatizacion CUE y desee controlar la intensidad de la iluminacion en 2 circuitos de lamparas de cargas resistivas e inductivas,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625000,Control,34. Dimmer,/625000_PET102.png,CUE,PET102,"Dimmer de 2,7amps para cargas resistivas y capacitivas",Cuando tenga un sistema de automatizacion CUE y desee controlar la intensidad de la iluminacion en 2 circuitos de lamparas de cargas resistivas y capacitivas,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626000,Control,34. Dimmer,/626000_PET105.png,CUE,PET105,Dimmer de 5amps para cargas resistivas y capacitivas,Cuando tenga un sistema de automatizacion CUE y desee controlar la intensidad de la iluminacion en un circuito de lamparas de cargas resistivas y capacitivas,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629000,Control,35. Panel Control,/629000_KeyPadCUE55.png,CUE,KeyPadCUE55,Botonera alambrica de 8 botones programable,Cuando requiera tener botones totalmente programables para crear escenas o funciones basicas en su sistema de automatizacion en un panel elegante y de botones iluminados de facil manipulacion,,,,,caja Especial europea,,,1,1,1,,1,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630000,Control,35. Panel Control,/630000_TouchCUE-12.png,CUE,TouchCUE-12,"Pantalla tactil de 12"" para mesa","Si desea tener una interfaz grafica personalizada que le ayude a manejar los equipos y tecnologias del lugar y prefiera tener una pantalla tactil sobre una mesa dedicada para la automatizacion del sistema porque para usted la agilidad y confiabilidad es lo primero, y asi permitir que personas aun sin muchos conocimientos puedan sacarle provecho a todo el sistema audiovisual.  Este tamaño de pantalla permite la visualizacion de los sistemas de mayor complejidad con botones, planos y combinaciones de graficos y menus aun para personas que comiencen a tener una vision mas deteriorada por su edad.",,,,,,,,,1,1,1,,,,,,,1,,,,,,1,,,,1,,1,1,1,,,,1,1,,,,,,,,,,,,1,,1,,1,,,1,,1,,,
631000,Control,35. Panel Control,/631000_TouchCUE-5.png,CUE,TouchCUE-5,"Pantalla tactil de 5"" para mesa","Si desea tener una interfaz grafica personalizada que le ayude a manejar los equipos y tecnologias del lugar y prefiera tener una pantalla tactil dedicada para la automatizacion del sistema porque para usted la agilidad y confiabilidad es lo primero, y asi permitir que personas aun sin muchos conocimientos puedan sacarle provecho a todo el sistema audiovisual.  Este tamaño de pantalla permite la visualizacion de botones, planos y combinaciones de mediana complejidad",,,,,,,,1,1,1,,1,,,,,,,,,1,1,,1,,,1,,1,,1,,,,1,1,,1,,,,,,,,,,,,,,1,,,,,,1,,,
632000,Control,35. Panel Control,/632000_TouchCUE-7B.png,CUE,TouchCUE-7B,"Pantalla tactil de 7"" para empotrar en muro","Si desea tener una interfaz grafica personalizada que le ayude a manejar los equipos y tecnologias del lugar y prefiera tener una pantalla tactil dedicada para la automatizacion del sistema porque para usted la agilidad y confiabilidad es lo primero, y asi permitir que personas aun sin muchos conocimientos puedan sacarle provecho a todo el sistema audiovisual.  Este tamaño de pantalla permite la visualizacion de botones y combinaciones de mayor complejidad aun para personas que comiencen a tener una vision mas deteriorada por su edad.",,,,,Caja de Pared,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,1,,,,,,
633000,Control,35. Panel Control,/633000_SignCUE-One.png,CUE,SignCUE-One,Player de graficos HDMI y USB,Convierta una pantalla interactiva o cualquier touch screen en un dispositivo de control para que visitantes puedan comunicarse mas facilmetne con el sistema que usted desea automatizar,,,,,,,,,1,1,1,1,1,1,1,1,,1,,,,,,,1,,1,1,1,1,1,1,,,,,1,1,,,,,1,1,1,1,,,1,,,,1,1,1,1,1,1,,,
634000,Control,36. Reserva de Salas,/634000_touchONE-7.png,CUE,touchONE-7,"Pantalla Tactil 7"" de reserva salas","Si desea organizar los diferentes salones para que se maximise su uso, se organice qyuen lo puede usar y se sepa cuando estan ocupados de manera que las reuniones coloque una pantalla en cada salon y reservela fisicamente o desde su celular",,"MSOffice 365, MS Exchange o Google G Suite",,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,1,,1,1,1,,,,,1,,,
635000,Control,36. Reserva de Salas,/635000_touchONE-10.png,CUE,touchONE-10,"Pantalla Tactil 10"" de reserva salas","Si desea organizar los diferentes salones para que se maximise su uso, se organice qyuen lo puede usar y se sepa cuando estan ocupados de manera que las reuniones coloque una pantalla en cada salon y reservela fisicamente o desde su celular",,"MSOffice 365, MS Exchange o Google G Suite",,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,1,,1,1,1,,,,,1,,,
636000,Control,36. Reserva de Salas,/636000_touchONE-12.png,CUE,touchONE-12,"Pantalla Tactil 12"" de reserva salas","Si desea organizar los diferentes salones para que se maximise su uso, se organice qyuen lo puede usar y se sepa cuando estan ocupados de manera que las reuniones coloque una pantalla en cada salon y reservela fisicamente o desde su celular",,"MSOffice 365, MS Exchange o Google G Suite",,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,1,,1,1,1,,,,,1,,,
637000,Control,36. Reserva de Salas,/637000_touchONE-desk-55.png,CUE,touchONE-desk-55,Botonera de reserva salas,"Si desea organizar los diferentes salones para que se maximise su uso, se organice qyuen lo puede usar y se sepa cuando estan ocupados de manera que las reuniones coloque una pantalla en cada salon y reservela fisicamente o desde su celular",,"touchONE-Concentrator y MSOffice 365, MS Exchange o Google G Suite",,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,,,,,,,,,,,1,,1,1,1,,,,,1,,,
638000,Control,36. Reserva de Salas,/638000_touchONE-concentrator.png,CUE,touchONE-concentrator,Unidad de Interfase,Cuando desee manejar el sistema de reserva de escritorios va a requerir esta unidad de control e interfase central,,touchOne-desk55,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,,,,,,,,,,,1,,1,1,1,,,,,1,,,
639000,Control,36. Reserva de Salas,/639000_touchONE-manager.png,CUE,touchONE-manager,Unidad de administrador,Para cuando busca conocer las estadisticas de ocupacion y manejo de las diferentes salas desde un punto centralizado con mucho detalle,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,1,,1,1,1,,,,,1,,,
640000,Control,36. Reserva de Salas,/640000_touchONE-overview.png,CUE,touchONE-overview,Player,"Cuando requeira que en el hall del lugar se muestre un reporte de todas las salas, su ocupacion y planeacion",,Cualquier Display con HDMI,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,1,,1,1,1,,,,,1,,,
641000,Control,37. Sistema,/641000_SystemOne.png,CUE,SystemOne,Sistema todo incluido para automatizacion de apartamentos (en conjunto con Siemens),"Cuando requeira un sistema pre-diseñado de altisima confiabilidad desarrollado por la asociacion de 2 grandes como son Siemens y CUE para manejar optimamente su apartamento, este es el sistema profesional ideal.",,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642000,Control,37. Sistema,/642000_AV para Salas.png,Extron,AV para Salas,Sistema todo incluido para automatizacion de salas de reuniones,"Cuando requeira un sistema que integre muchas salas y auditorios y permita su control, administracion y mantenimiento de manera remota que incluya todo los equipos de Audio, Video y control necesarios",,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
643000,Control,37. Sistema,/643000_AV para Aulas.png,Extron,AV para Aulas,Sistema todo incluido para automatizacion de salones de clases,"Cuando requeira un sistema que integre muchos salones de clases y permita su control, administracion y mantenimiento de manera remota que incluya todo los equipos de Audio, Video y control necesarios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
646000,Control,38. Transmision Control,/646000_TL-MR3020.png,TP-Link,TL-MR3020,WiFi Mini Router para SmartCUE,"Cuando desee tener un router pequeño para llevar una señal WiFi a equipos remotos y asi no tenerse que preocupar con el cableado desde el punto central hasta el equipo que va a controlar, este router es nuestra recomendación ya sea en un SmartCUE o cualqueir otro dispositivo IP de CUE",,,,,,,,1,1,1,1,1,,,,,,1,,,1,1,,1,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,
647000,Control,39. Software Control,/647000_App-CUE.png,CUE,App-CUE,Sofware para control atravez de iOS o Android (licencia almacenada en el controlador),Si desea tener una interfaz grafica personalizada que le ayude a manejar los equipos y tecnologias del lugar y usar su smartphone o tablet Android o iOS como el dispositivo de control para la automatizacion del sistema permitiendo que personas aun sin muchos conocimientos puedan sacarle provecho a todo el sistema audiovisual,,,,,,,,1,1,1,,,,,,,,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
648000,Control,39. Software Control,/648000_CloudBase.png,CUE,CloudBase,Sistema de gerenciamiento a travez de la nube,"Cuando quiera accesar su sistema CUE desde cualqueir parte del mundo.  Esto le permitira  ahorrar dinero, tiempo y esfuerzos para asi disfrutar mas del sistema.  Este aplicativo sin costo es un complemento que elevara el nivel del proyecto.",,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,
649000,Control,39. Software Control,/649000_CUE Site Manager.png,CUE,CUE Site Manager,Software para gerenciamiento y monitoreo remoto de grandes sistemas de automatizacion,"Cuando usted requiere que su staff de operarios de redes puedan remoamente monitorear y controlar salas de juntas, auditorios, oficinas, salones de clases, casas, etc y sus corresponientes aparatos asociados.  Cada sitio puede ser identificado por nombre, grupo o localizacion pudiendo monitorear cualqueir atributo - iluminacion, temperatura, volumen, vida de la lampara, energia, para asi entregar informes de mantenimientos, alertas, pedidos de ayuda a una aplicacion que manejaria el administrador del sistema o un correo electronico",,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
650000,Control,39. Software Control,/650000_MeetingRoom Manager_17.png,CUE,MeetingRoom Manager,Sistema de reservacion para auditorios (Incluye Pantallas Hardware y Software de control y presentacion),"Si su proyecto tiene muchos salones y necesita organizar la agenda de ellos ya que algunas personas desean reservarlos para horas especificas, esta combinacion de hardware y software le permitira tener pantallas en las entradas de cada salon en donde las personas se acercan y facilmente hacen sus propias reservas o consultan el estado del salon",,MS-Exchange y Servidor,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651000,Control,39. Software Control,/651000_PC-CUE.png,CUE,PC-CUE,Sofware para control atravez de PC Windows (licencia almacenada en el controlador),"Si desea tener una interfaz grafica personalizada que le ayude a manejar los equipos y tecnologias del lugar aprovehando el PC que usted ya tiene como el dispositivo de control para la automatizacion del sistema y asi lograr que personas aun sin muchos conocimientos puedan sacarle provecho a todo el sistema audiovisual, este aplicativo es la solucion",,,,,,,,,1,1,,1,,,,,,1,,,,,,1,,,1,1,1,1,1,1,,,1,1,1,1,,,,,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,,,
652000,Control,40. Accesorio Control,/652000_19722-000-55.png,Konig & Meyer,19722-000-55,Accesorio para soportar iPad de base microfono,"En los casos que en el sitio se requiera tener un iPad que va aser usado como un dispositivo de lectura o control y deseen una instalacion flexible, lo ideal es usar este soporte que unido a una base tradicional de microfono le dara flexibilidad y agilidad",,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
654000,Control,40. Accesorio Control,/654000_Distro.png,Peavey,Distro,Regulador de potencia para rack de 6 circuitos de 20a,"En los casos que desee que su rack tenga las conexiones electricas rapidas para los equipos montados en el facilitando la puesta a punto y mantenimientos posteriores, ademas de generar una protecciona adicional a los equipos alli conectados",,,,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,,,,,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,,
655000,Control,40. Accesorio Control,/655000_PES03.png,CUE,PES03,Unidad de supresion de interferencias,"Cuando este utilizando un sistema CUE y controle motores (cargas inductivas) estas pueden generar ""ruidos"" en el sistema en el momento de activarse ciertos motores, asi que si desea asegurarse de tener el sistmea mas estable y limpio, esta udidad le ayudara desde un pincipio.",,"Unidades de Relay, Dimmer y Controladores CUE",,,,,,,,1,1,1,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
